Marca;Modelo;Tipo;;;C�digo de Motor;Tipo de Aceite;Viscosidad Recomendada;Especificaci�n ACEA/API;F Aire;F Aceite Fecha;F aceite;F Nafta;F Nafta Optativo;Habitaculo 1;Habitaculo 2
ALFAROMEO;Brera;1.8 TBI 16V;04/09-06/10;Brera 1.8 TBI 16V;939 B1.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 712/11 x;De x Vida;;CU 2232/1;CUK2232/1
ALFAROMEO;Brera;2.0 JTDM16V;05/09-06/10;Brera 2.0 JTDM16V;939 B3.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 712/11 x;WK853/21;;CU 2232/1;CUK2232/2
ALFAROMEO;Brera;2.2 JTS 16V;09/05-05/11;Brera 2.2 JTS 16V;939 A5.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 6007 x;De x Vida;;CU 2232/1;CUK2232/3
Fiat;Bavo;2.4 JTDM20V;09/05-03/11;Brera 2.4 JTDM20V;939 A3.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 722 y;WK853/21;;CU 2232/1;CUK2232/4
Fiat;Bavo;2.4 JTDM20V;05/07-03/11;Brera 2.4 JTDM20V;939 A9.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 722 y;WK853/21;;CU 2232/1;CUK2232/5
Fiat;Bavo;3.2 JTS V6 24V;09/05-05/11;Brera 3.2 JTS V6 24V;939 A.000;Sint�tico;5W-40;ACEA C3 / API SN;C18 003;;HU 69/3 x;De x Vida;;CU 2232/1;CUK2232/6
Fiat;Crosswagon Q4;1.9 JTD16V;07/04-05/06;Crosswagon Q4 1.9 JTD16V;�;Sint�tico;5W-40;ACEA C3 / API SN;C1589/3;;W7003;WK854/5;;;CUK1820-2
Ford;Giulia (952);2.0 Q4;08/17 ?;Giulia 2.0 Q4;55273835;Sint�tico;0W-30;ACEA C2 / API SN;C36 031;;W7030;De x Vida;WK5027;CUK32 008;FP32 008
Ford;Giulia (952);2.0 Turbo;08/16-10/22;Giulia 2.0 Turbo;55273835 / 55273835;Sint�tico;0W-30;ACEA C2 / API SN;C36 031;;W7030;De x Vida;WK5027;CUK32 008;FP32 008
Ford;Giulia (952);2.0 Turbo;08/16 ?;Giulia 2.0 Turbo;46335975, 46346398, 55268818;Sint�tico;5W-30;ACEA C2 / API SN;C36 031;;W7030;De x Vida;WK5027;CUK32 008;FP32 008
Ford;Giulia (952);2.2 D(952);08/18-10/22;Giulia 2.2 D;46335975, 46346398, 55268818;Sint�tico;5W-30;ACEA C2 / API SN;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.2 D(952);08/18 ?;Giulia 2.2 D;46335975, 55275156, 55284636;Sint�tico;5W-30;ACEA C2 / API SN;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.2 JTDm16V (952);11/16 ?;Giulia 2.2 JTDm16V;46346359, 55268818, 55284529;Sint�tico;5W-30;ACEA C2 / API SN;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.2 JTDm16V (952);10/15 ?;Giulia 2.2 JTDm16V;46346359, 55268818, 55284529;Sint�tico;5W-30;ACEA C2 / API SN;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.2 JTDm16V (952);10/15 ?;Giulia 2.2 JTDm16V;55266388, 55268532, 55271040;Sint�tico;5W-30;ACEA C5 / API SN;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.2 JTDm16V (952);10/15 ?;Giulia 2.2 JTDm16V;55266388, 55268532;Sint�tico;5W-30;;C36 031;;HU 6026 z;PU7014 z;;CUK32 008;FP32 008
Ford;Giulia (952);2.9 (952);11/19 ?;Giulia 2.9 / GTA / V6 Bi-Turbo;670050436, 670052588, 670052721, EED375;Sint�tico;0W-20;ACEA C5 / API SN;C34 017;;;De x Vida;WK5027;CUK32 008;FP32 008
Ford;Giulia (952);2.9 GTA;05/20 ?;Giulia 2.9 / GTA / V6 Bi-Turbo;670050436, 670052588, 670052721, EED375;Sint�tico;0W-20;ACEA C5 / API SN;C34 017;;;;WK5027;CUK32 008;FP32 008
Ford;Giulia (952);2.9 V6 Bi-Turbo (952);10/15 ?;Giulia 2.9 / GTA / V6 Bi-Turbo;670050436, 670052588, 670052721, EED375;Sint�tico;0W-20;ACEA C5 / API SN;C34 017;;;De x Vida;WK5027;CUK32 008;FP32 008
Toyota;Giulietta (940);1.4 TB;09/14-10/18;Giulietta 1.4 TB;940 C2.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;? 07/15;HU 713/1 x;De x Vida;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.4 TB16V;05/10-02/17;Giulietta 1.4 TB16V;198 A4.000;Sint�tico;5W-40;;C15 007;? 07/15;HU 713/1 x;De x Vida;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.4 TB16V;04/11-02/17;|;940 B1.000, 940 B8.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;? 07/15;HU 713/1 x;De x Vida;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.4 TB16V Multiair;05/10-12/20;Giulietta 1.4 TB16V Multiair;940 A2.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;? 07/15;HU 713/1 x;De x Vida;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.6 JTDM;09/15-10/18;Giulietta 1.6 JTDM;940 C5.000 / 55280444 / 940C1.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 005;;HU 8006 z;PU7005;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.6 JTDM16V;05/10-02/16;Giulietta 1.6 JTDM16V;940 A3.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 005;;HU 8006 z;;;CU 23 009;CUK23 009
Toyota;Giulietta (940);1.8 TBi 16V;04/10-10/18;Giulietta 1.8 TBi 16V;940 A1.000;Sint�tico;5W-40;ACEA C3 / API SN;C15 005;? 03/14;HU 712/11 x;De x Vida;;CU 23 009;CUK23 009
Toyota;Giulietta (940);2.0 JTDM;08/13-02/16;Giulietta 2.0 JTDM;940 B5.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;;HU 8006 z;PU7005;;CU 23 009;CUK23 009
Toyota;Giulietta (940);2.0 JTDM16V;04/10-02/16;Giulietta 2.0 JTDM16V;940A8.000, 940B6.000, 940C4;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;;HU 8006 z;;;CU 23 009;CUK23 009
Toyota;Giulietta (940);2.0 JTDM16V;05/10-02/16;Giulietta 2.0 JTDM16V;940 B4.000;Sint�tico;5W-30;ACEA C2 / API SN;C15 007;;HU 8006 z;;;CU 23 009;CUK23 009
Chevrolet;GT;1.8 16V TS;02/04-09/10;GT 1.8 16V TS;AR 32205;Sint�tico;10W-60;ACEA A3 / API SN;C3188;;W712/16;De x Vida;;;CUK1820-2
Chevrolet;GT;1.9 JTD16V;05/08-09/10;GT 1.9 JTD16V;937 A6.000;Sint�tico;5W-30;ACEA C2 / API SN;C29 124;;W7003;WK854/5;;;CUK1820-2
